run,log_id,first_seen_hours,bug_id,status,match_status,match_confidence,validation_ref,top_frame,reason,log_path,final_testcase_summary
r3,id_000004_20260706_05h58m47s,24.914722,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd3/logSaved/id_000004_20260706_05h58m47s/griffin.log,"select 'x' , 'x' , 1 , 1 from ( with x as ( with recursive x ( x ) as ( with recursive x ( x ) as ( select 1 union select ( select 1 ) ) select 1 union select all x from ( select * from x where not null = 1.000000 ) natural join x where not exists ( select 1 f"
r4,id_000000_20260705_05h04m10s,0.0,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000000_20260705_05h04m10s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 241 stoped signal number=11"
r4,id_000001_20260705_13h03m13s,7.984167,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000001_20260705_13h03m13s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( select 1.000000 union select 1 union select 1 order by 1 ) select * from 1.000000 where not exists ( select 1 from ( select 1 ) where 1 > x ) ) order by x , x limit 1 ) natural"
r4,id_000002_20260705_16h02m24s,10.970556,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000002_20260705_16h02m24s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 798 stoped signal number=11"
r4,id_000003_20260705_16h31m04s,11.448333,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000003_20260705_16h31m04s/griffin.log,"select x , x , x , x , x , x from ( with x as ( with x as ( select * from ( select 1 ) join ( select 1 , * from ( with recursive x as ( with x as ( select distinct 1 ) select x order by x nulls first ) select ( x , 'x' , 'x' ) from x ) ) on true join ( select "
r4,id_000004_20260705_16h39m45s,11.593056,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000004_20260705_16h39m45s/griffin.log,"select x , x , x , x , x , x from ( with x as ( with x as ( select * from ( select 1 ) join ( select 1 , * from ( with recursive x as ( with x as ( select distinct 1 ) select x order by x nulls first ) select ( x , 'x' , 'x' ) from x ) ) on true join ( select "
r4,id_000005_20260705_16h51m21s,11.786389,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000005_20260705_16h51m21s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( select 1.000000 union select 1 union select 1 window x as ( order by x ) , x as ( order by x ) order by 1 ) select * from 1.000000 where not exists ( select 1 from ( select 1 )"
r4,id_000006_20260705_19h02m53s,13.978611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000006_20260705_19h02m53s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( select 1.000000 union select 1 union select 1 order by 1 ) select * from 1.000000 where not exists ( select 1 from ( select 1 ) where 1 > x ) ) order by x , x x asc limit 1 ) n"
r4,id_000007_20260705_20h08m58s,15.08,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000007_20260705_20h08m58s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from x window x as ( partition by x order by x + x ) integer order by x , x limit 1 ) natural left join x where x in ( 1 , 1 ) from x ; begin ; select pg_logical_emit_message ( false , 'pgoutput' , 'a non-transa"
r4,id_000008_20260705_20h51m40s,15.791667,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000008_20260705_20h51m40s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from x join 1.000000 where not exists ( select 1 from ( limit 1 ) on where = x order by x , x limit 1 ) natural left join x where x in ( 1 , 1 ) from x ; begin ; select pg_logical_emit_message ( false , 'pgoutpu"
r4,id_000009_20260706_01h21m23s,20.286944,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000009_20260706_01h21m23s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( select 1.000000 union select 1 union select 1 order by 1 ) select * from 1.000000 where not exists ( with recursive x as ( select 1 union select - x limit null ) select x = x f"
r4,id_000010_20260706_02h01m23s,20.953611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000010_20260706_02h01m23s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( ( select x < x from x ) natural left join ( select x isnull from ( with recursive x ( x ) as ( with recursive x ( x ) as ( select 1 union select x + 1 from x where x < 1 ) sele"
r4,id_000011_20260706_03h26m25s,22.370833,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000011_20260706_03h26m25s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from select x * ( with recursive x ( x ) as ( select cast( x as text ) union select x + 1 from x where x < 1 ) select * from x ) order by x , x limit 1 ) natural left join x where x in ( 1 , 1 ) from x ; begin ;"
r4,id_000012_20260706_03h58m05s,22.898611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000012_20260706_03h58m05s/griffin.log,"select from ( with x as ( with x as ( select * from ( select 1 ) join ( select 1 , * from ( with recursive x as ( with x as ( select distinct 1 ) select x order by x nulls first ) select ( x , 'x' , 'x' ) from x ) ) on true join ( select * from ( select 1 ) ) "
r4,id_000013_20260706_04h32m37s,23.474167,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000013_20260706_04h32m37s/griffin.log,"select x , x , x , x , x , x x , x , x , x , x , x , x , x , x , x , x , x from ( select 1 union select 1.000000 limit 1 ) natural left join x where from x ; begin ; select pg_logical_emit_message ( false , 'pgoutput' , 'a non-transactional message is availabl"
r4,id_000014_20260706_04h45m43s,23.6925,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000014_20260706_04h45m43s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( select 1.000000 union select 1 union select 1 order by 1 ) select ( select ( select * from x order by x , x ) = ( select * from x window x as ( ) order by x , x ) ) between ( 1"
r4,id_000015_20260706_04h59m36s,23.923889,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000015_20260706_04h59m36s/griffin.log,"select x , x , x , x , x , x from ( select * from x where x = true group by x order by x , x limit 1 ) natural left join x where x in ( 1 , 1 , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x , x ) from x ; begin ; select pg_l"
r4,id_000016_20260706_05h37m08s,24.549444,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd4/logSaved/id_000016_20260706_05h37m08s/griffin.log,"select x , x , x , x , x , x from ( select 1 , * from ( with recursive x ( x ) as ( select 1.000000 union select 1 union select 1 order by 1 ) select * from 1.000000 where not exists ( select 1 from select 1 group by x , x * 1 , x - 1 where 1 > x ) ) order by "
r5,id_000000_20260121_15h26m46s,0.0,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000000_20260121_15h26m46s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 1846 stoped signal number=11"
r5,id_000002_20260121_16h37m11s,1.173611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000002_20260121_16h37m11s/griffin.log,select '$'::jsonpath; select 'lax $'::jsonpath; select '$.*[*]'::jsonpath;-- -- test sp-gist indexes. -- -- there are other tests to test different sp-gist opclasses. this is for -- testing sp-gist code itself. create table testxmldomain(testboolxmldomain int4
r5,id_000003_20260121_17h05m11s,1.640278,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,"final testcase/stack does not match 19466.md, 19469.md, or 19470.md.",/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000003_20260121_17h05m11s/griffin.log,child 37668 stoped signal number=2 child 37668 stoped signal number=6
r5,id_000004_20260121_17h36m06s,2.155556,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000004_20260121_17h36m06s/griffin.log,"-- -- join -- test join clauses -- create table testxmldomain ( testdatexmldomain integer, testtable integer, testboolxmldomain text ); insert into testxmldomain values (1, 4, 'one'); insert into testxmldomain values (2, 3, 'two'); insert into testxmldomain va"
r5,id_000005_20260121_18h03m34s,2.613333,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000005_20260121_18h03m34s/griffin.log,"-- -- test gist indexes. -- -- there are other tests to test different gist opclasses. this is for -- testing gist code itself. vacuuming in particular. create table testxmldomain(testboolxmldomain int4, testdatexmldomain point); create index testtable on test"
r5,id_000006_20260121_18h44m05s,3.288611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000006_20260121_18h44m05s/griffin.log,"select query_to_xml('select 1 as x',true,false,'');-- test bitmap and and or -- generate enough data that we can test the lossy bitmaps. -- there's 55 tuples per page in the table. 53 is just -- below 55, so that an index scan with qual testtable = constant --"
r5,id_000007_20260121_20h16m46s,4.833333,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000007_20260121_20h16m46s/griffin.log,"-- tests for tidscans create table testxmldomain(testboolxmldomain integer); -- show ctids select ctid, * from testxmldomain; create table testdatexmldomain (testtable int, title smallint); -- or'd clauses explain (costs off) select ctid, * from testdatexmldom"
r5,id_000008_20260121_20h22m28s,4.928333,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000008_20260121_20h22m28s/griffin.log,"create table testxmldomain ( testdatexmldomain int, testboolxmldomain int, testtable int, title char(84) ); alter table testxmldomain owner to postgres; grant all on table testxmldomain to public; insert into testxmldomain select i, 1, 0, repeat('a', 84) from "
r5,id_000009_20260121_21h20m18s,5.892222,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000009_20260121_21h20m18s/griffin.log,"select xmlcomment('--test'); select xmlcomment('te st');create table testxmldomain as select testboolxmldomain from generate_series(1,100000) as g(testboolxmldomain);child 121234 stoped signal number=6"
r5,id_000010_20260121_21h45m03s,6.304722,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000010_20260121_21h45m03s/griffin.log,"create table testxmldomain as select testdatexmldomain, md5(testdatexmldomain::text) as testboolxmldomain from generate_series(1,1000000) testdatexmldomain;child 124016 stoped signal number=6"
r5,id_000011_20260121_22h19m47s,6.883611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000011_20260121_22h19m47s/griffin.log,"create table testxmldomain as select v as testboolxmldomain,v as testdatexmldomain from generate_series(1,100000) as g(v); -- bug #17245: make sure that we don't totally fail to vacuum individual indexes that -- happen to be below min_parallel_index_scan_size "
r5,id_000012_20260121_22h36m52s,7.168333,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000012_20260121_22h36m52s/griffin.log,"-- this is an infinite loop with union all, but not with union with recursive t(n) as ( select 1 union select 10-n from t) select * from t; -- in a perfect world, this would work and resolve the literal as int ... -- but for now, we have to be content with res"
r5,id_000013_20260121_22h51m17s,7.408611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000013_20260121_22h51m17s/griffin.log,"create table testxmldomain ( testdatexmldomain int, testboolxmldomain text ); insert into testxmldomain (testdatexmldomain, testboolxmldomain) select (i % 10) + 1, 'value_' || i from generate_series(1, 10000) as s(i);child 133736 stoped signal number=6"
r5,id_000014_20260121_23h13m31s,7.779167,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000014_20260121_23h13m31s/griffin.log,"select '{,[a,c)}'::textmultirange; select '{(),a)}'::textmultirange; select '{(a,))}'::textmultirange; select ' {} '::textmultirange; select '{(,)}'::textmultirange; create table testxmldomain(testboolxmldomain int, testtable int, testdatexmldomain int); selec"
r5,id_000015_20260121_23h33m35s,8.113611,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000015_20260121_23h33m35s/griffin.log,"create table testxmldomain ( testboolxmldomain time );create tablespace t1 location '/tmp/pg_tblspc_t1'; insert into testxmldomain (testboolxmldomain) values ('100000'); show server_version; create materialized view mvx1 as select * from generate_series(1,1000"
r5,id_000016_20260121_23h46m18s,8.325556,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000016_20260121_23h46m18s/griffin.log,"create table testxmlschema.test1 (a int, b text); select table_to_xml('testxmlschema.test1', true, false, 'foo'); select table_to_xml('testxmlschema.test1', true, true, '');create table testxmldomain as select v as testboolxmldomain from generate_series(1,1000"
r5,id_000017_20260122_00h03m18s,8.608889,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000017_20260122_00h03m18s/griffin.log,begin; create table testxmldomain (testboolxmldomain int4); delete from testxmldomain; abort; -- should have members again select * from testxmldomain; -- ok set transaction read write; set transaction read only;create role x login; set session authorization '
r5,id_000018_20260122_00h36m10s,9.156667,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000018_20260122_00h36m10s/griffin.log,"select avg(gpa) as avg_3_4 from only student;-- when we have to sort the entire table, incremental sort will -- be slower than plain sort, so it should not be used. explain (costs off) select * from (select * from tenk1 order by four) t order by four, ten; set"
r5,id_000019_20260122_00h41m19s,9.2425,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000019_20260122_00h41m19s/griffin.log,"create table testxmldomain as select generate_series(1,500000) as testboolxmldomain, '{a,b}'::text[] as testdatexmldomain, '{a}'::text[] as testtable;child 147822 stoped signal number=6"
r5,id_000020_20260122_00h59m34s,9.546667,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000020_20260122_00h59m34s/griffin.log,"-- with recursive -- sum of 1..100 with recursive t(n) as ( values (1) union all select n+1 from t where n < 100 ) select sum(n) from t; -- this is an infinite loop with union all, but not with union with recursive t(n) as ( select 1 union select 10-n from t) "
r5,id_000021_20260122_02h39m42s,11.215556,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000021_20260122_02h39m42s/griffin.log,"create table testxmldomain(testboolxmldomain int primary key); insert into testxmldomain select generate_series(1, 4000000);child 188273 stoped signal number=14 child 188273 stoped signal number=6"
r5,id_000022_20260122_03h06m30s,11.662222,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000022_20260122_03h06m30s/griffin.log,select 1 as two union all select 2; select 1 as three union select 2 union all select 2 order by 1; select 1 as one union select 1.0::float8 order by 1; select 1.1 as three union select 2 union select 3 order by 1; select 1.1::float8 as two union select 2 unio
r5,id_000023_20260122_03h27m14s,12.007778,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000023_20260122_03h27m14s/griffin.log,"/* contrib/unaccent/unaccent--1.1.sql */ -- complain if script is sourced in psql, rather than via create extension \echo use ""create extension unaccent"" to load this file. \quit create function unaccent(regdictionary, text) returns text as 'module_pathname', "
r5,id_000024_20260122_04h03m07s,12.605833,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000024_20260122_04h03m07s/griffin.log,"select oid, dictname from pg_ts_dict where dictnamespace = 0 or dictowner = 0 or dicttemplate = 0; create database database4 with encoding 'utf8' template template0;child 200586 stoped signal number=6"
r5,id_000025_20260122_04h38m18s,13.192222,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000025_20260122_04h38m18s/griffin.log,"begin;-- -- tests for common table expressions (with query, ... select ...) -- -- basic with with q1(x,y) as (select 1,2) select * from q1, q1 as q2; -- with recursive -- sum of 1..100 with recursive t(n) as ( values (1) union all select n+1 from t where n < 1"
r5,id_000026_20260122_04h42m05s,13.255278,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000026_20260122_04h42m05s/griffin.log,"begin;-- -- test sp-gist indexes. -- -- there are other tests to test different sp-gist opclasses. this is for -- testing sp-gist code itself. create table testxmldomain(testboolxmldomain int4, testdatexmldomain point); abort; -- read-only tests create table t"
r5,id_000027_20260122_05h21m55s,13.919167,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres1/logSaved/id_000027_20260122_05h21m55s/griffin.log,
